,eth_price,usd_price,cv_eth,cv_usd
2021-12-23,60.0,238849.2,68.472,286859.2319566666
2021-12-23,56.0,222925.92,68.472,286859.2319566666
2021-12-22,88.0,353526.8,69.20533333333333,290394.9446233333
2021-12-22,50.0,200867.5,69.20533333333333,290394.9446233333
2021-12-22,58.99,236983.4765,69.20533333333333,290394.9446233333
2021-12-22,51.0,204884.85,69.20533333333333,290394.9446233333
2021-12-22,77.95,313152.4325,69.20533333333333,290394.9446233333
2021-12-22,52.501,210914.8924,69.20533333333333,290394.9446233333
2021-12-22,51.31,206130.2285,69.20533333333333,290394.9446233333
2021-12-22,52.0,208902.2,69.20533333333333,290394.9446233333
2021-12-22,56.0,224971.6,69.20533333333333,290394.9446233333
2021-12-22,55.0,220954.25,69.20533333333333,290394.9446233333
2021-12-22,52.69,211674.1715,69.20533333333333,290394.9446233333
2021-12-22,51.02,204965.197,69.20533333333333,290394.9446233333
2021-12-22,50.05,201068.3675,69.20533333333333,290394.9446233333
2021-12-22,54.0,216936.9,69.20533333333333,290394.9446233333
2021-12-22,53.8,216133.43,69.20533333333333,290394.9446233333
2021-12-22,65.0,261127.75,69.20533333333333,290394.9446233333
2021-12-22,177.0,711070.95,69.20533333333333,290394.9446233333
2021-12-22,59.75,240036.6625,69.20533333333333,290394.9446233333
2021-12-22,54.85,220351.6475,69.20533333333333,290394.9446233333
2021-12-22,59.5,239032.325,69.20533333333333,290394.9446233333
2021-12-22,53.0,212919.55,69.20533333333333,290394.9446233333
2021-12-22,79.0,317370.65,69.20533333333333,290394.9446233333
2021-12-22,59.89,240599.0915,69.20533333333333,290394.9446233333
2021-12-22,54.95,220753.3825,69.20533333333333,290394.9446233333
2021-12-22,51.96,208741.506,69.20533333333333,290394.9446233333
2021-12-22,52.0,208902.2,69.20533333333333,290394.9446233333
2021-12-22,58.97,236903.1295,69.20533333333333,290394.9446233333
2021-12-21,80.0,315727.2,70.37566666666666,296376.1034533333
2021-12-21,100.01,394698.4659,70.37566666666666,296376.1034533333
2021-12-21,69.69,275037.8571,70.37566666666666,296376.1034533333
2021-12-21,51.89,204788.5551,70.37566666666666,296376.1034533333
2021-12-21,52.0,205222.68,70.37566666666666,296376.1034533333
2021-12-21,55.0,217062.45,70.37566666666666,296376.1034533333
2021-12-21,54.0,213115.86,70.37566666666666,296376.1034533333
2021-12-21,65.0,256528.35,70.37566666666666,296376.1034533333
2021-12-21,77.88,307360.4292,70.37566666666666,296376.1034533333
2021-12-21,178.99,706400.1441,70.37566666666666,296376.1034533333
2021-12-21,135.0,532789.65,70.37566666666666,296376.1034533333
2021-12-21,75.0,295994.25,70.37566666666666,296376.1034533333
2021-12-21,79.0,311780.61,70.37566666666666,296376.1034533333
2021-12-21,89.95,354995.7705,70.37566666666666,296376.1034533333
2021-12-21,63.95,252384.4305,70.37566666666666,296376.1034533333
2021-12-21,58.0,228902.22,70.37566666666666,296376.1034533333
2021-12-21,70.0,276261.3,70.37566666666666,296376.1034533333
2021-12-21,75.0,295994.25,70.37566666666666,296376.1034533333
2021-12-20,77.0,302285.06,71.50866666666667,301945.19760333333
2021-12-20,310.0,1216991.8,71.50866666666667,301945.19760333333
2021-12-20,60.02,235625.3156,71.50866666666667,301945.19760333333
2021-12-20,79.0,310136.62,71.50866666666667,301945.19760333333
2021-12-20,63.0,247324.14,71.50866666666667,301945.19760333333
2021-12-20,60.98,239394.0644,71.50866666666667,301945.19760333333
2021-12-20,56.0,219843.68,71.50866666666667,301945.19760333333
2021-12-19,65.0,257525.45,72.41900000000001,305655.68788000004
2021-12-19,64.99,257485.8307,72.41900000000001,305655.68788000004
2021-12-19,64.99,257485.8307,72.41900000000001,305655.68788000004
2021-12-19,57.7,228603.361,72.41900000000001,305655.68788000004
2021-12-19,199.79,791553.9947,72.41900000000001,305655.68788000004
2021-12-19,57.69,228563.7417,72.41900000000001,305655.68788000004
2021-12-18,60.0,232582.2,73.25233333333334,310056.24788
2021-12-18,60.0,232582.2,73.25233333333334,310056.24788
2021-12-18,120.0,465164.4,73.25233333333334,310056.24788
2021-12-17,75.0,296784.0,74.21900000000001,314622.9225466667
2021-12-17,64.99,257173.2288,74.21900000000001,314622.9225466667
2021-12-17,61.5,243362.88,74.21900000000001,314622.9225466667
2021-12-17,64.5,255234.24,74.21900000000001,314622.9225466667
2021-12-17,59.0,233470.08,74.21900000000001,314622.9225466667
2021-12-17,59.5,235448.64,74.21900000000001,314622.9225466667
2021-12-17,60.0,237427.2,74.21900000000001,314622.9225466667
2021-12-17,63.0,249298.56,74.21900000000001,314622.9225466667
2021-12-17,120.0,474854.4,74.21900000000001,314622.9225466667
2021-12-17,60.0,237427.2,74.21900000000001,314622.9225466667
2021-12-17,80.0,316569.6,74.21900000000001,314622.9225466667
2021-12-17,84.95,336157.344,74.21900000000001,314622.9225466667
2021-12-17,399.69,1581621.293,74.21900000000001,314622.9225466667
2021-12-17,100.0,395712.0,74.21900000000001,314622.9225466667
2021-12-17,130.0,514425.6,74.21900000000001,314622.9225466667
2021-12-16,76.95,309447.4995,75.08566666666667,319610.25088
2021-12-16,92.95,373790.0595,75.08566666666667,319610.25088
2021-12-16,77.0,309648.57,75.08566666666667,319610.25088
2021-12-16,68.0,273455.88,75.08566666666667,319610.25088
2021-12-16,80.0,321712.8,75.08566666666667,319610.25088
2021-12-16,63.0,253348.83,75.08566666666667,319610.25088
2021-12-16,61.5,247316.715,75.08566666666667,319610.25088
2021-12-16,64.0,257370.24,75.08566666666667,319610.25088
2021-12-16,60.99,245265.7959,75.08566666666667,319610.25088
2021-12-16,60.0,241284.6,75.08566666666667,319610.25088
2021-12-16,58.5,235252.485,75.08566666666667,319610.25088
2021-12-16,85.0,341819.85,75.08566666666667,319610.25088
2021-12-16,65.0,261391.65,75.08566666666667,319610.25088
2021-12-16,60.02,241365.0282,75.08566666666667,319610.25088
2021-12-16,57.0,229220.37,75.08566666666667,319610.25088
2021-12-15,135.0,521197.2,75.75233333333334,324226.43754666665
2021-12-15,95.0,366768.4,75.75233333333334,324226.43754666665
2021-12-15,68.99,266351.0728,75.75233333333334,324226.43754666665
2021-12-15,70.69,272914.2968,75.75233333333334,324226.43754666665
2021-12-15,60.0,231643.2,75.75233333333334,324226.43754666665
2021-12-15,70.0,270250.4,75.75233333333334,324226.43754666665
2021-12-15,66.69,257471.4168,75.75233333333334,324226.43754666665
2021-12-15,72.5,279902.2,75.75233333333334,324226.43754666665
2021-12-15,82.0,316579.04,75.75233333333334,324226.43754666665
2021-12-15,65.69,253610.6968,75.75233333333334,324226.43754666665
2021-12-15,63.5,245155.72,75.75233333333334,324226.43754666665
2021-12-15,64.0,247086.08,75.75233333333334,324226.43754666665
2021-12-15,63.75,246120.9,75.75233333333334,324226.43754666665
2021-12-15,66.0,254807.52,75.75233333333334,324226.43754666665
2021-12-14,75.0,283800.0,76.35233333333333,328791.31754666666
2021-12-14,63.0,238392.0,76.35233333333333,328791.31754666666
2021-12-14,65.0,245960.0,76.35233333333333,328791.31754666666
2021-12-14,62.0,234608.0,76.35233333333333,328791.31754666666
2021-12-14,70.0,264880.0,76.35233333333333,328791.31754666666
2021-12-14,69.95,264690.8,76.35233333333333,328791.31754666666
2021-12-14,63.0,238392.0,76.35233333333333,328791.31754666666
2021-12-14,125.0,473000.0,76.35233333333333,328791.31754666666
2021-12-14,86.0,325424.0,76.35233333333333,328791.31754666666
2021-12-14,67.0,253528.0,76.35233333333333,328791.31754666666
2021-12-14,96.0,363264.0,76.35233333333333,328791.31754666666
2021-12-14,63.95,241986.8,76.35233333333333,328791.31754666666
2021-12-14,159.0,601656.0,76.35233333333333,328791.31754666666
2021-12-13,63.98,264423.5818,76.85866666666668,332251.27921666665
2021-12-13,82.0,338898.62,76.85866666666668,332251.27921666665
2021-12-13,61.5,254173.965,76.85866666666668,332251.27921666665
2021-12-13,125.0,516613.75,76.85866666666668,332251.27921666665
2021-12-13,75.0,309968.25,76.85866666666668,332251.27921666665
2021-12-13,80.0,330632.8,76.85866666666668,332251.27921666665
2021-12-13,76.0,314101.16,76.85866666666668,332251.27921666665
2021-12-13,68.95,284964.1445,76.85866666666668,332251.27921666665
2021-12-13,87.0,359563.17,76.85866666666668,332251.27921666665
2021-12-13,62.0,256240.42,76.85866666666668,332251.27921666665
2021-12-13,70.0,289303.7,76.85866666666668,332251.27921666665
2021-12-13,80.0,330632.8,76.85866666666668,332251.27921666665
2021-12-13,73.0,301702.43,76.85866666666668,332251.27921666665
2021-12-13,68.0,281037.88,76.85866666666668,332251.27921666665
2021-12-13,65.0,268639.15,76.85866666666668,332251.27921666665
2021-12-13,69.0,285170.79,76.85866666666668,332251.27921666665
2021-12-13,374.0,1545708.34,76.85866666666668,332251.27921666665
2021-12-13,72.95,301495.7845,76.85866666666668,332251.27921666665
2021-12-12,136.0,556399.12,77.032,334535.16535
2021-12-12,70.8,289654.836,77.032,334535.16535
2021-12-12,85.0,347749.45,77.032,334535.16535
2021-12-12,79.69,326025.3373,77.032,334535.16535
2021-12-12,74.5,304792.165,77.032,334535.16535
2021-12-12,69.8,285563.666,77.032,334535.16535
2021-12-12,80.0,327293.6,77.032,334535.16535
2021-12-11,83.0,323697.51,77.367,337721.1226333334
2021-12-11,68.0,265197.96,77.367,337721.1226333334
2021-12-11,97.95,382002.0615,77.367,337721.1226333334
2021-12-11,74.93,292224.7521,77.367,337721.1226333334
2021-12-11,85.0,331497.45,77.367,337721.1226333334
2021-12-11,66.95,261102.9915,77.367,337721.1226333334
2021-12-11,88.0,343197.36,77.367,337721.1226333334
2021-12-11,75.0,292497.75,77.367,337721.1226333334
2021-12-10,90.0,369539.1,77.23366666666668,338424.83729999996
